Date,Close
10/1/2012,12.60
10/2/2012,12.53
10/3/2012,12.80
10/4/2012,13.02
10/5/2012,12.93
10/8/2012,12.95
10/9/2012,12.55
10/10/2012,12.25
10/11/2012,12.21
10/12/2012,12.12
10/15/2012,12.21
10/16/2012,12.20
10/17/2012,12.37
10/18/2012,12.24
10/19/2012,12.00
10/22/2012,11.69
10/23/2012,11.72
10/24/2012,11.42
10/25/2012,11.15
10/26/2012,11.91
10/31/2012,11.64
11/1/2012,11.61
11/2/2012,11.62
11/5/2012,11.72
11/6/2012,11.88
11/7/2012,11.60
11/8/2012,11.37
11/9/2012,11.32
11/12/2012,11.32
11/13/2012,11.33
11/14/2012,11.15
11/15/2012,11.03
11/16/2012,11.26
11/19/2012,11.49
11/20/2012,11.69
11/21/2012,11.90
11/23/2012,11.99
11/26/2012,12.18
11/27/2012,12.17
11/28/2012,12.36
11/29/2012,12.56
11/30/2012,12.60
12/3/2012,12.52
12/4/2012,12.62
12/5/2012,12.70
12/6/2012,12.67
12/7/2012,12.66
12/10/2012,12.39
12/11/2012,12.53
12/12/2012,12.59
12/13/2012,12.56
12/14/2012,12.46
12/17/2012,12.69
12/18/2012,13.02
12/19/2012,12.90
12/20/2012,13.08
12/21/2012,12.85
12/24/2012,12.93
12/26/2012,12.43
12/27/2012,12.42
12/28/2012,12.26
12/31/2012,12.54
1/2/2013,12.87
1/3/2013,12.92
1/4/2013,12.96
1/7/2013,13.42
1/8/2013,13.32
1/9/2013,13.32
1/10/2013,13.27
1/11/2013,13.40
1/14/2013,13.64
1/15/2013,13.60
1/16/2013,13.45
1/17/2013,13.52
1/18/2013,13.61
1/22/2013,13.51
1/23/2013,13.41
1/24/2013,13.68
1/25/2013,14.20
1/28/2013,13.80
1/29/2013,13.02
1/30/2013,13.64
1/31/2013,13.28
2/1/2013,13.25
2/4/2013,13.00
2/5/2013,13.34
2/6/2013,13.11
2/7/2013,13.01
2/8/2013,13.10
2/11/2013,12.86
2/12/2013,12.94
2/13/2013,13.47
2/14/2013,13.46
2/15/2013,13.25
2/19/2013,13.49
2/20/2013,13.32
2/21/2013,13.30
2/22/2013,13.27
2/25/2013,12.99
2/26/2013,12.97
2/27/2013,13.16
2/28/2013,13.21
3/1/2013,13.29
3/4/2013,13.66
3/5/2013,13.78
3/6/2013,13.69
3/7/2013,13.69
3/8/2013,13.71
3/11/2013,13.56
3/12/2013,13.71
3/13/2013,13.76
3/14/2013,13.29
3/15/2013,13.09
3/18/2013,12.89
3/19/2013,12.82
3/20/2013,12.86
3/21/2013,12.67
3/22/2013,12.89
3/25/2013,12.80
3/26/2013,13.02
3/27/2013,13.27
3/28/2013,13.32
4/1/2013,13.08
4/2/2013,13.17
4/3/2013,12.95
4/4/2013,12.95
4/5/2013,12.77
4/8/2013,12.95
4/9/2013,13.06
4/10/2013,13.24
4/11/2013,13.49
4/12/2013,13.64
4/15/2013,13.39
4/16/2013,13.62
4/17/2013,13.37
4/18/2013,12.97
4/19/2013,13.02
4/22/2013,13.18
4/23/2013,13.45
4/24/2013,13.44
4/25/2013,13.74
4/26/2013,12.74
4/29/2013,12.49
4/30/2013,12.69
5/1/2013,12.41
5/2/2013,12.63
5/3/2013,12.90
5/6/2013,12.79
5/7/2013,12.89
5/8/2013,12.93
5/9/2013,13.01
5/10/2013,13.18
5/13/2013,13.23
5/14/2013,13.42
5/15/2013,13.33
5/16/2013,13.21
5/17/2013,13.50
5/20/2013,13.38
5/21/2013,13.44
5/22/2013,13.15
5/23/2013,13.09
5/24/2013,13.09
5/28/2013,13.36
5/29/2013,13.28
5/30/2013,13.34
5/31/2013,13.46
6/3/2013,13.34
6/4/2013,13.29
6/5/2013,13.36
6/6/2013,13.39
6/7/2013,13.84
6/10/2013,14.05
6/11/2013,13.74
6/12/2013,13.58
6/13/2013,13.79
6/14/2013,13.70
6/17/2013,13.90
6/18/2013,14.09
6/19/2013,13.91
6/20/2013,13.67
6/21/2013,13.67
6/24/2013,13.53
6/25/2013,13.60
6/26/2013,13.88
6/27/2013,13.88
6/28/2013,13.88
7/1/2013,14.11
7/2/2013,14.19
7/3/2013,14.20
7/5/2013,14.29
7/8/2013,14.53
7/9/2013,14.58
7/10/2013,14.62
7/11/2013,14.98
7/12/2013,15.38
7/15/2013,15.33
7/16/2013,15.34
7/17/2013,15.43
7/18/2013,15.21
7/19/2013,15.26
7/22/2013,15.17
7/23/2013,15.05
7/24/2013,14.95
7/25/2013,15.17
7/26/2013,15.60
7/29/2013,15.31
7/30/2013,15.12
7/31/2013,15.06
8/1/2013,15.28
8/2/2013,15.21
8/5/2013,15.05
8/6/2013,15.04
8/7/2013,14.85
8/8/2013,14.79
8/9/2013,14.86
8/12/2013,14.83
8/13/2013,14.70
8/14/2013,14.57
8/15/2013,14.32
8/16/2013,14.24
8/19/2013,14.28
8/20/2013,14.35
8/21/2013,14.23
8/22/2013,14.49
8/23/2013,14.50
8/26/2013,14.31
8/27/2013,14.05
8/28/2013,14.08
8/29/2013,14.20
8/30/2013,14.05
9/3/2013,14.44
9/4/2013,14.68
9/5/2013,14.71
9/6/2013,14.79
9/9/2013,14.99
9/10/2013,15.02
9/11/2013,14.98
9/12/2013,14.94
9/13/2013,14.90
9/16/2013,14.80
9/17/2013,15.21
9/18/2013,15.60
9/19/2013,15.60
9/20/2013,15.82
9/23/2013,15.57
9/24/2013,15.71
9/25/2013,15.63
9/26/2013,15.91
9/27/2013,15.80
9/30/2013,15.63
10/1/2013,16.05
10/2/2013,16.03
10/3/2013,15.74
10/4/2013,15.95
10/7/2013,15.50
10/8/2013,15.16
10/9/2013,14.91
10/10/2013,15.26
10/11/2013,15.54
10/14/2013,15.54
10/15/2013,15.32
10/16/2013,15.52
10/17/2013,15.54
10/18/2013,16.45
10/21/2013,16.32
10/22/2013,16.63
10/23/2013,16.34
10/24/2013,16.61
10/25/2013,18.17
10/28/2013,17.91
10/29/2013,18.14
10/30/2013,18.05
10/31/2013,18.20
11/1/2013,17.95
11/4/2013,17.94
11/5/2013,17.94
11/6/2013,17.81
11/7/2013,17.18
11/8/2013,17.52
11/11/2013,17.72
11/12/2013,17.48
11/13/2013,17.81
11/14/2013,18.37
11/15/2013,18.46
11/18/2013,18.31
11/19/2013,18.25
11/20/2013,18.13
11/21/2013,18.45
11/22/2013,18.62
11/25/2013,18.83
11/26/2013,19.07
11/27/2013,19.34
11/29/2013,19.68
12/2/2013,19.61
12/3/2013,19.23
12/4/2013,19.30
12/5/2013,19.22
12/6/2013,19.35
12/9/2013,19.24
12/10/2013,19.39
12/11/2013,19.11
12/12/2013,19.06
12/13/2013,19.21
12/16/2013,19.45
12/17/2013,19.38
12/18/2013,19.80
12/19/2013,19.76
12/20/2013,20.11
12/23/2013,20.15
12/24/2013,19.96
12/26/2013,20.22
12/27/2013,19.90
12/30/2013,19.67
12/31/2013,19.94
1/2/2014,19.90
1/3/2014,19.82
1/6/2014,19.68
1/7/2014,19.90
1/8/2014,20.10
1/9/2014,20.05
1/10/2014,19.88
1/13/2014,19.55
1/14/2014,19.88
1/15/2014,19.79
1/16/2014,19.79
1/17/2014,19.98
1/21/2014,20.35
1/22/2014,20.23
1/23/2014,19.99
1/24/2014,19.38
1/27/2014,19.31
1/28/2014,19.72
1/29/2014,19.21
1/30/2014,20.15
1/31/2014,17.93
2/3/2014,17.31
2/4/2014,17.40
2/5/2014,17.32
2/6/2014,17.73
2/7/2014,18.05
2/10/2014,18.04
2/11/2014,18.09
2/12/2014,17.46
2/13/2014,17.86
2/14/2014,17.87
2/18/2014,17.68
2/19/2014,17.37
2/20/2014,17.49
2/21/2014,17.34
2/24/2014,17.59
2/25/2014,17.92
2/26/2014,17.99
2/27/2014,18.01
2/28/2014,18.11
3/3/2014,17.99
3/4/2014,18.20
3/5/2014,18.62
3/6/2014,18.61
3/7/2014,18.60
3/10/2014,18.53
3/11/2014,18.44
3/12/2014,18.53
3/13/2014,18.58
3/14/2014,18.69
3/17/2014,18.75
3/18/2014,18.94
3/19/2014,18.66
3/20/2014,18.45
3/21/2014,18.03
3/24/2014,17.59
3/25/2014,17.74
3/26/2014,17.17
3/27/2014,16.92
3/28/2014,16.91
3/31/2014,16.82
4/1/2014,17.15
4/2/2014,17.10
4/3/2014,16.68
4/4/2014,16.15
4/7/2014,15.89
4/8/2014,16.35
4/9/2014,16.59
4/10/2014,15.86
4/11/2014,15.59
4/14/2014,15.80
4/15/2014,15.80
4/16/2014,16.18
4/17/2014,16.25
4/21/2014,16.54
4/22/2014,16.47
4/23/2014,16.23
4/24/2014,16.86
4/25/2014,15.19
4/28/2014,14.83
4/29/2014,15.02
4/30/2014,15.21
5/1/2014,15.39
5/2/2014,15.40
5/5/2014,15.50
5/6/2014,14.87
5/7/2014,14.64
5/8/2014,14.42
5/9/2014,14.61
5/12/2014,15.14
5/13/2014,15.23
5/14/2014,14.88
5/15/2014,14.76
5/16/2014,14.89
5/19/2014,14.84
5/20/2014,15.06
5/21/2014,15.25
5/22/2014,15.25
5/23/2014,15.61
5/27/2014,15.54
5/28/2014,15.51
5/29/2014,15.69
5/30/2014,15.63
6/2/2014,15.44
6/3/2014,15.36
6/4/2014,15.34
6/5/2014,16.18
6/6/2014,16.48
6/9/2014,16.38
6/10/2014,16.62
6/11/2014,16.76
6/12/2014,16.30
6/13/2014,16.31
6/16/2014,16.38
6/17/2014,16.28
